year,gdp,total_population,inequality_measure,control_of_corruption,rule_of_law,government_effectiveness,political_stability,voice_and_accountability,regulatory_quality,attacks,log_attacks
1970,3.4299037889400164,11290128.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1971,3.4299037889400164,11567667.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1972,3.4299037889400164,11853696.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1973,3.4299037889400164,12157999.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,1.0,0.6931471805599453
1974,3.4299037889400164,12469127.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1975,3.4299037889400164,12773954.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1976,3.4299037889400164,13059851.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1977,3.4299037889400164,13340756.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1978,3.4299037889400164,13611441.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1979,3.4299037889400164,13655567.0,0.452997313900265,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,3.0,1.3862943611198906
1980,3.4299037889400164,13169311.0,0.4095,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1981,3.4299037889400164,11937581.0,0.4095,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1982,3.4299037889400164,10991378.0,0.4095,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1983,3.4299037889400164,10917982.0,0.4095,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1984,3.4299037889400164,11190221.0,0.4095,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
